id,name,pincode
372,Green Park Market,110016
373,Gurgaon Road,110037
374,Hauz Khas Market,110016
375,Hauz Khas,110016
376,IGI Airport,110037
377,Ignou,110068
378,IT Hauz Khas,110016
379,J N U,110067
380,Jaunapur,110047
381,JNU New Campus,110067
382,Kapashera,110097
383,Kidwai Nagar East,110023
384,Kidwai Nagar West,110023
385,Kirby Place,110010
386,Lado Sarai,110030
387,Laxmi Bai Nagar,110023
388,Mahipalpur,110037
389,Maidan Garhi,110068
390,Malcha Marg,110021
391,Mandi,110047
392,Masood Pur,110070
393,Mehrauli,110030
394,Moti Bagh,110021
395,Munirka,110067
396,Nanak Pura,110021
397,Nangal Dewat,110037
398,Nauroji Nagar,110029
399,Netaji Nagar South West Delhi,110023
400,NIE Campus,110016
401,Palam Airport,110037
402,Paryavaran Complex,110030
403,Pinto Park,110010
404,R K Puram Main,110066
405,R K Puram Sect 1,110022
406,R K Puram Sect 12,110022
407,R K Puram Sect 3,110022
408,R K Puram Sect 4,110022
409,R K Puram Sect 5,110022
410,R K Puram Sect7,110022
411,R K Puram Sect 8,110022
412,R K Puram Sector 6 Postal SB,110022
413,R K Puram West,110066
414,R R Hospital,110010
415,Rajokari,110038
416,Safdarjung Enclave,110029
417,Sanjay Colony Bhati Mines,110074
418,Sarojini Nagar,110023
419,Satbari,110074
420,Sawan Public School,110074
421,Shahbad Mohammadpur,110061
422,Signal Enclave,110010
423,South Delhi Campus,110021
424,Station Road South West Delhi,110010
425,Subroto Park,110010
426,Sultanpur,110030
427,T B Hospital,110030
428,Technology Bhawan,110016
429,Vasant Kunj Pkt A,110070
430,Vasant Kunj,110070
431,Vasant Vihar 1,110057
432,Vasant Vihar 2,110057
433,Amberhai,110075
434,Ashok Nagar West Delhi,110018
435,Ashoka Park Extn,110026
436,Badusarai,110071
437,Bagdola,110077
438,Bakkarwala,110041
439,Baprola,110043
440,Barthal,110077
441,Chand Nagar,110018
442,Chaukhandi,110018
443,Chhawla,110071
444,CRPF Jharoda Kalan,110072
445,D K Mohan Garden,110059
446,D E S U Colony,110058
447,Dabri,110045
448,Daulatpur,110043
449,DC Goyla,110071
450,Delhi Industrial Area,110015
451,Dhansa,110073
452,Dhulsiras,110077
453,Dichaun Kalan,110043
454,Dindarpur,110043
455,District Court Complex Dwarka,110075
456,"Distt Court Complex, Dwarka",110078
457,Dwarka Sec 6,110075
458,ESI,110015
459,Fateh Nagar,110018
460,Galib Pur,110073
461,GGSIP University,110078
462,Ghuman Hera,110073
463,Hari Nagar BE Block,110064
464,Hari Nagar Dadb Block,110064
465,Hari Nagar West Delhi,110064
466,Hastal Village,110059
467,Hirankudna,110041
468,Indira Park,110045
469,Issapur,110073
470,Jafarpur,110073
471,Jail Road West Delhi,110058
472,Janakpuri A3,110058
473,Janakpuri B1,110058
474,Janakpuri C4,110058
475,Janta Market,110027
476,Jawala Heri,110063
477,Jeevan Park,110059
478,Jharoda Kalan,110072
479,Jhatikara,110043
480,Jwala Puri,110087
481,Kair,110028
482,Kakrola,110078
483,Kangan Heri,110071
484,Karam Pura,110015
485,Khaira,110028
486,Khera Dabur,110073
487,Khyala Phase I,110018
488,Khyala Phase II,110018
489,L M Nagar Indl Area,110015
490,M B S Nagar,110018
491,Madipur Slum Quarter,110063
492,Madipur Village,110063
493,Mahabir Nagar,110018
494,Malik Pur,110073
495,Mansarover Garden,110015
496,Matiala,110059
497,Maya Puri,110064
498,Mayapuri Shopping Centre,110064
499,Mitraon,110043
500,Mundela Kalan,110073
501,Mundka,110041
502,N I Area,110015
503,N S I T Dwarka,110078
504,Najafgarh,110043
505,Nangal Raya,110046
506,Nangloi II,110041
507,Nangloi III,110041
508,Nangloi,110041
509,Naraina Industrial Estate,110028
510,Naraina Village,110028
511,Nasirpur,110045
512,Nilothi,110041
513,Palam Extn Harijan Basti,110077
514,Palam Village,110045
515,Pandwala Kalan,110043
516,Papravat,110043
517,Paschim Vihar B Block,110063
518,Paschim Vihar,110063
519,Peeragarhi,110063
520,Punjabi Bagh,110026
521,Punjabi Bagh Sec III,110026
522,Quazipur,110073
523,Raj Nagar II,110077
524,Rajouri Garden J6,110027
525,Rajouri Market,110027
526,Ramesh Nagar,110015
527,Ranhola,110041
528,Raota,110073
529,Rewla Khanpur,110043
530,Sagarpur,110046
531,Shivaji Park West Delhi,110026
532,Subhash Nagar West Delhi,110027
533,Subhash Nagar West,110027
534,Sunder Vihar,110087
535,Surehra,110043
536,Tagore Garden,110027
537,Tikri Kalan,110041
538,Tilak Nagar East,110018
539,Tilak Nagar West Delhi,110018
540,Tilangpur Kotla,110043
541,Ujwa,110073
542,Uttam Nagar,110059
